id	case	size	priority	track	readiness	epic	sprint
MET-C-006	C	S	Must	frontend	Ready	C-EP2	Sprint 3
MET-C-007	C	M	Should	backend	Blocked	C-EP3	Sprint 4
MET-C-008	C	M	Must	frontend	Ready	C-EP3	Sprint 4
MET-C-009	C	M	Must	frontend	Ready	C-EP3	Sprint 4
MET-C-010	C	L	Must	cross-team	Blocked	C-EP3	Sprint 5
MET-C-011	C	L	Must	frontend	Ready	C-EP4	Sprint 5
MET-C-012	C	S	Should	frontend	Ready	C-EP4	Sprint 5
MET-C-013	C	M	Should	frontend	Needs refinement	C-EP5	Sprint 5
MET-C-014	C	M	Should	frontend	Ready	C-EP6	Sprint 6
MET-C-015	C	M	Should	backend	Blocked	C-EP6	Sprint 6
MET-C-016	C	M	Must	frontend	Ready	C-EP7	Sprint 4
MET-C-017	C	S	Should	frontend	Ready	C-EP7	Sprint 5
MET-C-018	C	M	Should	backend	Blocked	C-EP8	Sprint 3
MET-C-019	C	M	Should	backend	Ready	C-EP8	Sprint 4
MET-C-020	C	S	Should	backend	Ready	C-EP8	Sprint 6
MET-C-021	C	L	Must	backend	Ready	C-EP11	Sprint 2
MET-C-022	C	M	Must	backend	Blocked	C-EP11	Sprint 3
MET-C-023	C	M	Should	backend	Blocked	C-EP9	Sprint 6
MET-C-024	C	M	Could	frontend	Needs refinement	C-EP10	Unscheduled
MET-C-025	C	L	Could	backend	Blocked	C-EP10	Unscheduled
MET-C-026	C	M	Should	cross-team	Ready	C-EP7	Sprint 6
MET-C-027	C	L	Must	cross-team	Ready	C-EP12	Sprint 7
MET-D-001	D	M	Must	backend	Blocked	D-EP1	Sprint 1
MET-D-002	D	M	Must	backend	Blocked	D-EP1	Sprint 2
MET-D-003	D	L	Must	backend	Blocked	D-EP1	Sprint 2
MET-D-004	D	L	Should	backend	Ready	D-EP1	Sprint 4
MET-D-005	D	M	Should	backend	Ready	D-EP1	Sprint 5
MET-D-006	D	M	Must	frontend	Ready	D-EP2	Sprint 3
MET-D-007	D	M	Must	frontend	Blocked	D-EP2	Sprint 3
MET-D-008	D	M	Must	cross-team	Ready	D-EP3	Sprint 2
MET-D-009	D	M	Must	backend	Ready	D-EP3	Sprint 3
MET-D-010	D	L	Must	backend	Blocked	D-EP3	Sprint 4
MET-D-011	D	M	Should	backend	Ready	D-EP3	Sprint 4
MET-D-012	D	S	Must	backend	Ready	D-EP3	Sprint 4
MET-D-013	D	M	Must	frontend	Ready	D-EP4	Sprint 3
MET-D-014	D	M	Should	frontend	Ready	D-EP4	Sprint 5
MET-D-015	D	L	Must	frontend	Blocked	D-EP5	Sprint 5
MET-D-016	D	M	Must	backend	Blocked	D-EP5	Sprint 5
MET-D-017	D	M	Should	backend	Blocked	D-EP6	Sprint 4
MET-D-018	D	M	Must	backend	Blocked	D-EP8	Sprint 4
MET-D-019	D	M	Should	cross-team	Ready	D-EP8	Sprint 6
MET-D-020	D	M	Should	backend	Ready	D-EP6	Sprint 3
MET-D-021	D	L	Could	backend	Blocked	D-EP7	Unscheduled
MET-D-022	D	L	Could	backend	Blocked	D-EP7	Unscheduled
MET-D-023	D	S	Should	frontend	Ready	D-EP3	Sprint 4
MET-D-024	D	L	Must	cross-team	Ready	D-EP9	Sprint 7
